open_date,open_price
2017-08-31,4724.89
2017-09-01,4834.91
2017-09-02,4472.14
2017-09-03,4509.08
2017-09-04,4100.11
2017-09-05,4366.47
2017-09-06,4619.77
2017-09-07,4691.61
2017-09-08,4282.8
2017-09-09,4258.81
2017-09-10,4152.68
2017-09-11,4208.47
2017-09-12,4158.61
2017-09-13,3944.69
2017-09-14,3200.1
2017-09-15,3700
2017-09-16,3714.95
2017-09-17,3699.99
2017-09-18,4035
2017-09-19,3909.99
2017-09-20,3865.69
2017-09-21,3609.99
2017-09-22,3595.87
2017-09-23,3785
2017-09-24,3660.02
2017-09-25,3920.75
2017-09-26,3882.35
2017-09-27,4210
2017-09-28,4174.5
2017-09-29,4138.1
2017-09-30,4378.51
2017-10-01,4378.48
2017-10-02,4380
2017-10-03,4310
2017-10-04,4208.59
2017-10-05,4292.43
2017-10-06,4369
2017-10-07,4425
2017-10-08,4640
2017-10-09,4786.95
2017-10-10,4783.06
2017-10-11,4821.43
2017-10-12,5411.01
2017-10-13,5624.02
2017-10-14,5869.99
2017-10-15,5700.01
2017-10-16,5774.98
2017-10-17,5595
2017-10-18,5549.98
2017-10-19,5684.9
2017-10-20,6010.04
2017-10-21,6024.97
2017-10-22,5950.01
2017-10-23,5915.95
2017-10-24,5480.03
2017-10-25,5690
2017-10-26,5879.02
2017-10-27,5748.51
2017-10-28,5703.97
2017-10-29,6133.01
2017-10-30,6120.51
2017-10-31,6477.9
2017-11-01,6739.06
2017-11-02,7019.97
2017-11-03,7115.03
2017-11-04,7360.26
2017-11-05,7348.95
2017-11-06,6960.09
2017-11-07,7064.04
2017-11-08,7303.04
2017-11-09,7079.99
2017-11-10,6445.66
2017-11-11,6246.36
2017-11-12,5849.98
2017-11-13,6465.99
2017-11-14,6574.99
2017-11-15,7240.06
2017-11-16,7864.99
2017-11-17,7660.02
2017-11-18,7777.09
2017-11-19,8038
2017-11-20,8212.11
2017-11-21,8119.51
2017-11-22,8220
2017-11-23,8010.4
2017-11-24,8154.99
2017-11-25,8726.88
2017-11-26,9128
2017-11-27,9649.99
2017-11-28,9896.76
2017-11-29,9640.27
2017-11-30,9826.15
2017-12-01,10775.02
2017-12-02,10890
2017-12-03,11168.65
2017-12-04,11574.99
2017-12-05,11699.98
2017-12-06,13561.04
2017-12-07,16599.02
2017-12-08,15865.48
2017-12-09,14672.46
2017-12-10,14816.09
2017-12-11,16560
2017-12-12,16349.99
2017-12-13,16008
2017-12-14,16340.52
2017-12-15,17502.02
2017-12-16,19170.99
2017-12-17,18898
2017-12-18,18864.95
2017-12-19,17951.77
2017-12-20,16450.12
2017-12-21,15440.98
2017-12-22,13339.99
2017-12-23,13349.98
2017-12-24,13516.09
2017-12-25,13679.17
2017-12-26,15688.84
2017-12-27,15449
2017-12-28,14195.08
2017-12-29,14380.01
2017-12-30,12345
2017-12-31,13740.96
2018-01-01,13399.95
2018-01-02,14695.49
2018-01-03,14921
2018-01-04,15059.46
2018-01-05,16960.4
2018-01-06,17074.89
2018-01-07,16146.12
2018-01-08,14930
2018-01-09,14342.07
2018-01-10,14859.63
2018-01-11,13250
2018-01-12,13740.04
2018-01-13,14210.26
2018-01-14,13460.41
2018-01-15,13471.01
2018-01-16,10963.96
2018-01-17,10887.99
2018-01-18,10959
2018-01-19,11455.06
2018-01-20,12780
2018-01-21,11490
2018-01-22,10764.95
2018-01-23,10830.98
2018-01-24,11375.06
2018-01-25,11184
2018-01-26,11088.99
2018-01-27,11493.99
2018-01-28,11878.07
2018-01-29,11270.05
2018-01-30,10228.52
2018-01-31,10282.47
2018-02-01,9239.91
2018-02-02,8849.81
2018-02-03,9199.99
2018-02-04,8190
2018-02-05,6946.02
2018-02-06,7684
2018-02-07,7562
2018-02-08,7790
2018-02-09,8690.45
2018-02-10,8533.79
2018-02-11,8049.69
2018-02-12,8890.94
2018-02-13,8538.92
2018-02-14,9453
2018-02-15,10055
